======================================================================
Experiment Log: CCAP-Net | dataset=ENTER | mode=cross-subject | sessions=[1]
Start Time: 2026-01-17 13:56:54
======================================================================


======================================================================
ENTER Session 1 Training Start
======================================================================
Training subject 1/50, Session 1, Dataset ENTER
[2026-01-17 13:57:10] Epoch   10/1200 | Loss: 5.4194 (PIL: 2.0583, Trans: 3.3611) | Src Acc: 44.12% | Tgt Acc: 40.98% | CDANcov: 0.0%
[2026-01-17 13:57:23] Epoch   20/1200 | Loss: 5.6290 (PIL: 2.0107, Trans: 3.6183) | Src Acc: 45.73% | Tgt Acc: 41.93% | CDANcov: 0.0%
[2026-01-17 13:57:35] Epoch   30/1200 | Loss: 5.4818 (PIL: 1.9623, Trans: 3.5196) | Src Acc: 45.71% | Tgt Acc: 41.67% | CDANcov: 0.0%
[2026-01-17 13:57:50] Epoch   40/1200 | Loss: 5.6343 (PIL: 2.0073, Trans: 3.6270) | Src Acc: 46.52% | Tgt Acc: 44.43% | CDANcov: 0.0%
[2026-01-17 13:58:03] Epoch   50/1200 | Loss: 5.6830 (PIL: 1.9955, Trans: 3.6875) | Src Acc: 46.29% | Tgt Acc: 44.09% | CDANcov: 0.0%
[2026-01-17 13:58:16] Epoch   60/1200 | Loss: 5.3105 (PIL: 1.9882, Trans: 3.3223) | Src Acc: 48.06% | Tgt Acc: 43.14% | CDANcov: 0.0%
[2026-01-17 13:58:29] Epoch   70/1200 | Loss: 5.4598 (PIL: 1.9328, Trans: 3.5269) | Src Acc: 49.13% | Tgt Acc: 37.10% | CDANcov: 0.0%
[2026-01-17 13:58:41] Epoch   80/1200 | Loss: 5.4308 (PIL: 1.9964, Trans: 3.4345) | Src Acc: 49.39% | Tgt Acc: 49.18% | CDANcov: 0.0%
[2026-01-17 13:58:53] Epoch   90/1200 | Loss: 5.5395 (PIL: 1.9611, Trans: 3.5784) | Src Acc: 49.68% | Tgt Acc: 40.29% | CDANcov: 0.0%
[2026-01-17 13:59:06] Epoch  100/1200 | Loss: 5.3224 (PIL: 1.9332, Trans: 3.3891) | Src Acc: 49.93% | Tgt Acc: 39.69% | CDANcov: 0.0%
[2026-01-17 13:59:19] Epoch  110/1200 | Loss: 5.5655 (PIL: 1.8791, Trans: 3.6864) | Src Acc: 49.88% | Tgt Acc: 43.23% | CDANcov: 0.0%
[2026-01-17 13:59:31] Epoch  120/1200 | Loss: 5.5381 (PIL: 1.9710, Trans: 3.5670) | Src Acc: 50.21% | Tgt Acc: 44.78% | CDANcov: 0.0%
