======================================================================
REFED Session 1 Training Start
======================================================================
Training subject 1/32, Session 1, Dataset REFED
[2026-01-18 20:17:52] Epoch   10/1200 | Loss: 2.1101 (PIL: 2.1101, Trans: 0.0000) | Src Acc: 40.48% | Tgt Acc: 27.23% | CDANcov: 0.0%
[2026-01-18 20:17:53] Epoch   20/1200 | Loss: 1.8705 (PIL: 1.8705, Trans: 0.0000) | Src Acc: 40.65% | Tgt Acc: 17.26% | CDANcov: 0.0%
[2026-01-18 20:17:54] Epoch   30/1200 | Loss: 1.7557 (PIL: 1.7557, Trans: 0.0000) | Src Acc: 40.75% | Tgt Acc: 37.79% | CDANcov: 0.0%
[2026-01-18 20:17:55] Epoch   40/1200 | Loss: 1.5432 (PIL: 1.5432, Trans: 0.0000) | Src Acc: 57.29% | Tgt Acc: 37.07% | CDANcov: 0.0%
[2026-01-18 20:17:56] Epoch   50/1200 | Loss: 1.4188 (PIL: 1.4188, Trans: 0.0000) | Src Acc: 57.65% | Tgt Acc: 37.13% | CDANcov: 0.0%
[2026-01-18 20:17:56] Epoch   60/1200 | Loss: 1.2247 (PIL: 1.2247, Trans: 0.0000) | Src Acc: 59.35% | Tgt Acc: 24.30% | CDANcov: 0.0%
[2026-01-18 20:17:57] Epoch   70/1200 | Loss: 1.2440 (PIL: 1.2440, Trans: 0.0000) | Src Acc: 77.06% | Tgt Acc: 31.53% | CDANcov: 0.0%
[2026-01-18 20:17:58] Epoch   80/1200 | Loss: 1.0356 (PIL: 1.0356, Trans: 0.0000) | Src Acc: 73.51% | Tgt Acc: 20.00% | CDANcov: 0.0%
[2026-01-18 20:17:59] Epoch   90/1200 | Loss: 0.9571 (PIL: 0.9571, Trans: 0.0000) | Src Acc: 68.45% | Tgt Acc: 23.13% | CDANcov: 0.0%
[2026-01-18 20:18:00] Epoch  100/1200 | Loss: 0.9421 (PIL: 0.9421, Trans: 0.0000) | Src Acc: 68.00% | Tgt Acc: 34.27% | CDANcov: 0.0%
[2026-01-18 20:18:08] Epoch  110/1200 | Loss: 4.5343 (PIL: 0.9617, Trans: 3.5726) | Src Acc: 61.24% | Tgt Acc: 33.81% | CDANcov: 0.0%
[2026-01-18 20:18:17] Epoch  120/1200 | Loss: 4.1355 (PIL: 0.8875, Trans: 3.2480) | Src Acc: 58.36% | Tgt Acc: 19.35% | CDANcov: 0.0%
[2026-01-18 20:18:26] Epoch  130/1200 | Loss: 4.1375 (PIL: 1.0296, Trans: 3.1079) | Src Acc: 73.00% | Tgt Acc: 30.03% | CDANcov: 0.0%
[2026-01-18 20:18:35] Epoch  140/1200 | Loss: 3.7214 (PIL: 0.8387, Trans: 2.8827) | Src Acc: 75.62% | Tgt Acc: 29.25% | CDANcov: 0.0%
[2026-01-18 20:18:43] Epoch  150/1200 | Loss: 4.1110 (PIL: 1.2633, Trans: 2.8477) | Src Acc: 84.49% | Tgt Acc: 31.73% | CDANcov: 0.0%
[2026-01-18 20:18:52] Epoch  160/1200 | Loss: 3.6244 (PIL: 0.8014, Trans: 2.8231) | Src Acc: 75.51% | Tgt Acc: 31.21% | CDANcov: 0.0%
[2026-01-18 20:19:01] Epoch  170/1200 | Loss: 3.5583 (PIL: 0.8115, Trans: 2.7468) | Src Acc: 72.84% | Tgt Acc: 33.75% | CDANcov: 0.0%
[2026-01-18 20:19:10] Epoch  180/1200 | Loss: 3.6685 (PIL: 0.9182, Trans: 2.7503) | Src Acc: 78.68% | Tgt Acc: 27.49% | CDANcov: 0.0%
[2026-01-18 20:19:20] Epoch  190/1200 | Loss: 3.4311 (PIL: 0.7527, Trans: 2.6784) | Src Acc: 83.18% | Tgt Acc: 26.38% | CDANcov: 0.0%
[2026-01-18 20:19:29] Epoch  200/1200 | Loss: 3.3989 (PIL: 0.7555, Trans: 2.6434) | Src Acc: 65.61% | Tgt Acc: 26.06% | CDANcov: 0.0%
[2026-01-18 20:19:38] Epoch  210/1200 | Loss: 3.3827 (PIL: 0.6973, Trans: 2.6854) | Src Acc: 81.65% | Tgt Acc: 33.68% | CDANcov: 95.8%
[2026-01-18 20:19:49] Epoch  220/1200 | Loss: 3.3571 (PIL: 0.7767, Trans: 2.5804) | Src Acc: 62.58% | Tgt Acc: 23.00% | CDANcov: 95.9%
[2026-01-18 20:19:58] Epoch  230/1200 | Loss: 3.4446 (PIL: 0.7767, Trans: 2.6680) | Src Acc: 72.15% | Tgt Acc: 29.45% | CDANcov: 96.2%
[2026-01-18 20:20:08] Epoch  240/1200 | Loss: 3.2738 (PIL: 0.7139, Trans: 2.5599) | Src Acc: 72.13% | Tgt Acc: 38.24% | CDANcov: 96.5%
[2026-01-18 20:20:18] Epoch  250/1200 | Loss: 3.3713 (PIL: 0.7620, Trans: 2.6092) | Src Acc: 79.81% | Tgt Acc: 34.98% | CDANcov: 95.6%
[2026-01-18 20:20:29] Epoch  260/1200 | Loss: 3.2923 (PIL: 0.6979, Trans: 2.5944) | Src Acc: 81.81% | Tgt Acc: 29.71% | CDANcov: 96.9%
[2026-01-18 20:20:39] Epoch  270/1200 | Loss: 3.2412 (PIL: 0.6978, Trans: 2.5435) | Src Acc: 84.12% | Tgt Acc: 30.29% | CDANcov: 95.3%
[2026-01-18 20:20:50] Epoch  280/1200 | Loss: 3.2708 (PIL: 0.6748, Trans: 2.5960) | Src Acc: 72.01% | Tgt Acc: 40.46% | CDANcov: 96.4%
[2026-01-18 20:21:02] Epoch  290/1200 | Loss: 3.3367 (PIL: 0.7101, Trans: 2.6266) | Src Acc: 82.06% | Tgt Acc: 31.99% | CDANcov: 96.1%
[2026-01-18 20:21:13] Epoch  300/1200 | Loss: 3.2597 (PIL: 0.6343, Trans: 2.6254) | Src Acc: 70.62% | Tgt Acc: 22.41% | CDANcov: 96.9%
[2026-01-18 20:21:25] Epoch  310/1200 | Loss: 3.2167 (PIL: 0.6526, Trans: 2.5640) | Src Acc: 80.14% | Tgt Acc: 24.43% | CDANcov: 95.9%
[2026-01-18 20:21:36] Epoch  320/1200 | Loss: 3.5101 (PIL: 1.0751, Trans: 2.4350) | Src Acc: 84.56% | Tgt Acc: 29.19% | CDANcov: 57.5%
[2026-01-18 20:21:48] Epoch  330/1200 | Loss: 3.1669 (PIL: 0.6070, Trans: 2.5599) | Src Acc: 87.88% | Tgt Acc: 28.27% | CDANcov: 96.0%
[2026-01-18 20:22:00] Epoch  340/1200 | Loss: 3.1888 (PIL: 0.6299, Trans: 2.5589) | Src Acc: 70.95% | Tgt Acc: 34.40% | CDANcov: 96.8%
[2026-01-18 20:22:11] Epoch  350/1200 | Loss: 3.1136 (PIL: 0.5976, Trans: 2.5160) | Src Acc: 78.60% | Tgt Acc: 27.36% | CDANcov: 96.6%
[2026-01-18 20:22:23] Epoch  360/1200 | Loss: 3.2015 (PIL: 0.6785, Trans: 2.5229) | Src Acc: 71.62% | Tgt Acc: 26.84% | CDANcov: 95.8%
[2026-01-18 20:22:34] Epoch  370/1200 | Loss: 3.2694 (PIL: 0.6807, Trans: 2.5887) | Src Acc: 67.31% | Tgt Acc: 31.53% | CDANcov: 97.5%
[2026-01-18 20:22:44] Epoch  380/1200 | Loss: 3.1242 (PIL: 0.5829, Trans: 2.5413) | Src Acc: 84.93% | Tgt Acc: 26.51% | CDANcov: 97.0%
[2026-01-18 20:22:54] Epoch  390/1200 | Loss: 3.1763 (PIL: 0.5900, Trans: 2.5863) | Src Acc: 88.25% | Tgt Acc: 23.71% | CDANcov: 96.2%
[2026-01-18 20:23:04] Epoch  400/1200 | Loss: 3.0438 (PIL: 0.5806, Trans: 2.4631) | Src Acc: 87.29% | Tgt Acc: 33.55% | CDANcov: 96.7%
[2026-01-18 20:23:15] Epoch  410/1200 | Loss: 3.2878 (PIL: 0.5960, Trans: 2.6918) | Src Acc: 82.43% | Tgt Acc: 27.69% | CDANcov: 96.6%
[2026-01-18 20:23:25] Epoch  420/1200 | Loss: 3.1597 (PIL: 0.6209, Trans: 2.5388) | Src Acc: 85.84% | Tgt Acc: 31.40% | CDANcov: 97.7%
[2026-01-18 20:23:36] Epoch  430/1200 | Loss: 3.2946 (PIL: 0.8177, Trans: 2.4769) | Src Acc: 86.35% | Tgt Acc: 21.56% | CDANcov: 87.4%
[2026-01-18 20:23:47] Epoch  440/1200 | Loss: 3.0148 (PIL: 0.5502, Trans: 2.4646) | Src Acc: 89.60% | Tgt Acc: 29.38% | CDANcov: 96.9%
[2026-01-18 20:23:58] Epoch  450/1200 | Loss: 3.0975 (PIL: 0.5715, Trans: 2.5260) | Src Acc: 75.42% | Tgt Acc: 32.25% | CDANcov: 97.1%
[2026-01-18 20:24:09] Epoch  460/1200 | Loss: 3.0878 (PIL: 0.5603, Trans: 2.5274) | Src Acc: 87.96% | Tgt Acc: 30.55% | CDANcov: 97.5%
