======================================================================
Experiment Log: CCAP-Net | dataset=SEED-IV | mode=cross-subject | sessions=[1, 2, 3]
Start Time: 2026-01-18 14:06:59
======================================================================


======================================================================
SEED-IV Session 1 Training Start
======================================================================
Training subject 1/15, Session 1, Dataset SEED-IV
[2026-01-18 14:07:03] Epoch   10/1200 | Loss: 3.0533 (PIL: 0.8403, Trans: 2.2130) | Src Acc: 88.17% | Tgt Acc: 63.45% [SAVE] | CDANcov: 0.0%
[2026-01-18 14:07:06] Epoch   20/1200 | Loss: 2.5158 (PIL: 0.5452, Trans: 1.9707) | Src Acc: 88.89% | Tgt Acc: 59.46% | CDANcov: 0.0%
[2026-01-18 14:07:08] Epoch   30/1200 | Loss: 2.2589 (PIL: 0.3790, Trans: 1.8799) | Src Acc: 95.54% | Tgt Acc: 59.46% | CDANcov: 0.0%
[2026-01-18 14:07:11] Epoch   40/1200 | Loss: 2.1780 (PIL: 0.3450, Trans: 1.8330) | Src Acc: 96.21% | Tgt Acc: 60.16% | CDANcov: 0.0%
[2026-01-18 14:07:14] Epoch   50/1200 | Loss: 1.9753 (PIL: 0.2346, Trans: 1.7407) | Src Acc: 98.79% | Tgt Acc: 59.46% | CDANcov: 0.0%
[2026-01-18 14:07:17] Epoch   60/1200 | Loss: 1.9303 (PIL: 0.2035, Trans: 1.7268) | Src Acc: 98.60% | Tgt Acc: 62.04% | CDANcov: 0.0%
[2026-01-18 14:07:19] Epoch   70/1200 | Loss: 1.8029 (PIL: 0.1226, Trans: 1.6804) | Src Acc: 98.73% | Tgt Acc: 59.46% | CDANcov: 0.0%
[2026-01-18 14:07:23] Epoch   80/1200 | Loss: 1.8362 (PIL: 0.1677, Trans: 1.6684) | Src Acc: 96.53% | Tgt Acc: 59.46% | CDANcov: 0.0%
[2026-01-18 14:07:26] Epoch   90/1200 | Loss: 1.6597 (PIL: 0.0830, Trans: 1.5767) | Src Acc: 97.36% | Tgt Acc: 55.46% | CDANcov: 0.0%
[2026-01-18 14:07:29] Epoch  100/1200 | Loss: 1.6719 (PIL: 0.0535, Trans: 1.6184) | Src Acc: 99.38% | Tgt Acc: 59.46% | CDANcov: 0.0%
[2026-01-18 14:07:32] Epoch  110/1200 | Loss: 1.7105 (PIL: 0.0614, Trans: 1.6490) | Src Acc: 98.58% | Tgt Acc: 59.46% | CDANcov: 93.9%
[2026-01-18 14:07:35] Epoch  120/1200 | Loss: 1.8351 (PIL: 0.1094, Trans: 1.7257) | Src Acc: 99.33% | Tgt Acc: 65.69% | CDANcov: 93.2%
[2026-01-18 14:07:38] Epoch  130/1200 | Loss: 1.9037 (PIL: 0.1288, Trans: 1.7749) | Src Acc: 99.52% | Tgt Acc: 59.46% | CDANcov: 92.4%
[2026-01-18 14:07:41] Epoch  140/1200 | Loss: 2.1437 (PIL: 0.3082, Trans: 1.8355) | Src Acc: 92.00% | Tgt Acc: 67.10% | CDANcov: 93.8%
[2026-01-18 14:07:44] Epoch  150/1200 | Loss: 1.9682 (PIL: 0.1690, Trans: 1.7992) | Src Acc: 99.52% | Tgt Acc: 59.46% | CDANcov: 92.8%
[2026-01-18 14:07:47] Epoch  160/1200 | Loss: 1.9916 (PIL: 0.1256, Trans: 1.8660) | Src Acc: 98.51% | Tgt Acc: 58.99% | CDANcov: 93.0%
[2026-01-18 14:07:51] Epoch  170/1200 | Loss: 1.8644 (PIL: 0.1054, Trans: 1.7590) | Src Acc: 98.09% | Tgt Acc: 59.46% | CDANcov: 91.8%
[2026-01-18 14:07:54] Epoch  180/1200 | Loss: 1.8688 (PIL: 0.0691, Trans: 1.7997) | Src Acc: 97.99% | Tgt Acc: 60.16% | CDANcov: 94.8%
[2026-01-18 14:07:57] Epoch  190/1200 | Loss: 1.9050 (PIL: 0.0465, Trans: 1.8585) | Src Acc: 97.99% | Tgt Acc: 61.22% | CDANcov: 94.8%
[2026-01-18 14:08:01] Epoch  200/1200 | Loss: 1.9903 (PIL: 0.1254, Trans: 1.8649) | Src Acc: 96.51% | Tgt Acc: 60.16% | CDANcov: 93.0%
[2026-01-18 14:08:03] Epoch  210/1200 | Loss: 2.0001 (PIL: 0.0832, Trans: 1.9168) | Src Acc: 99.52% | Tgt Acc: 60.63% | CDANcov: 93.2%
[2026-01-18 14:08:06] Epoch  220/1200 | Loss: 1.8801 (PIL: 0.0290, Trans: 1.8511) | Src Acc: 99.14% | Tgt Acc: 59.46% | CDANcov: 93.4%
[2026-01-18 14:08:10] Epoch  230/1200 | Loss: 2.1279 (PIL: 0.1252, Trans: 2.0026) | Src Acc: 97.07% | Tgt Acc: 54.99% | CDANcov: 94.9%
[2026-01-18 14:08:12] Epoch  240/1200 | Loss: 2.5010 (PIL: 0.4011, Trans: 2.0999) | Src Acc: 98.10% | Tgt Acc: 59.46% | CDANcov: 93.6%
[2026-01-18 14:08:16] Epoch  250/1200 | Loss: 2.1055 (PIL: 0.0808, Trans: 2.0247) | Src Acc: 98.15% | Tgt Acc: 60.52% | CDANcov: 93.4%
[2026-01-18 14:08:18] Epoch  260/1200 | Loss: 2.0929 (PIL: 0.0710, Trans: 2.0219) | Src Acc: 99.52% | Tgt Acc: 61.46% | CDANcov: 93.2%
[2026-01-18 14:08:22] Epoch  270/1200 | Loss: 2.3165 (PIL: 0.1484, Trans: 2.1681) | Src Acc: 98.68% | Tgt Acc: 60.16% | CDANcov: 93.4%
[2026-01-18 14:08:25] Epoch  280/1200 | Loss: 2.1264 (PIL: 0.0816, Trans: 2.0448) | Src Acc: 96.10% | Tgt Acc: 66.63% | CDANcov: 95.1%
[2026-01-18 14:08:28] Epoch  290/1200 | Loss: 2.2224 (PIL: 0.0989, Trans: 2.1235) | Src Acc: 93.84% | Tgt Acc: 59.46% | CDANcov: 92.4%
[2026-01-18 14:08:32] Epoch  300/1200 | Loss: 2.2998 (PIL: 0.1543, Trans: 2.1455) | Src Acc: 97.31% | Tgt Acc: 62.87% | CDANcov: 94.9%
[2026-01-18 14:08:34] Epoch  310/1200 | Loss: 2.1840 (PIL: 0.0692, Trans: 2.1148) | Src Acc: 99.52% | Tgt Acc: 67.80% | CDANcov: 91.3%
[2026-01-18 14:08:37] Epoch  320/1200 | Loss: 2.2311 (PIL: 0.1250, Trans: 2.1060) | Src Acc: 99.49% | Tgt Acc: 68.86% | CDANcov: 92.2%
[2026-01-18 14:08:40] Epoch  330/1200 | Loss: 2.0805 (PIL: 0.0295, Trans: 2.0511) | Src Acc: 99.51% | Tgt Acc: 70.39% | CDANcov: 95.6%
[2026-01-18 14:08:43] Epoch  340/1200 | Loss: 2.1322 (PIL: 0.0481, Trans: 2.0842) | Src Acc: 99.44% | Tgt Acc: 65.22% | CDANcov: 95.2%
[2026-01-18 14:08:46] Epoch  350/1200 | Loss: 2.2235 (PIL: 0.0844, Trans: 2.1391) | Src Acc: 99.52% | Tgt Acc: 68.04% | CDANcov: 94.7%
[2026-01-18 14:08:49] Epoch  360/1200 | Loss: 2.1875 (PIL: 0.0278, Trans: 2.1597) | Src Acc: 97.66% | Tgt Acc: 68.98% | CDANcov: 93.5%
[2026-01-18 14:08:53] Epoch  370/1200 | Loss: 2.3658 (PIL: 0.1501, Trans: 2.2158) | Src Acc: 99.52% | Tgt Acc: 67.22% | CDANcov: 93.8%
[2026-01-18 14:08:56] Epoch  380/1200 | Loss: 2.2466 (PIL: 0.0452, Trans: 2.2014) | Src Acc: 99.52% | Tgt Acc: 66.27% | CDANcov: 95.6%
[2026-01-18 14:09:00] Epoch  390/1200 | Loss: 2.2273 (PIL: 0.0513, Trans: 2.1760) | Src Acc: 99.45% | Tgt Acc: 68.04% | CDANcov: 95.2%
[2026-01-18 14:09:03] Epoch  400/1200 | Loss: 2.3161 (PIL: 0.0880, Trans: 2.2282) | Src Acc: 98.30% | Tgt Acc: 67.22% | CDANcov: 93.2%
[2026-01-18 14:09:06] Epoch  410/1200 | Loss: 2.2914 (PIL: 0.0768, Trans: 2.2145) | Src Acc: 99.52% | Tgt Acc: 68.98% | CDANcov: 91.8%
[2026-01-18 14:09:10] Epoch  420/1200 | Loss: 2.2488 (PIL: 0.0433, Trans: 2.2055) | Src Acc: 99.46% | Tgt Acc: 65.92% | CDANcov: 96.0%
[2026-01-18 14:09:13] Epoch  430/1200 | Loss: 2.3630 (PIL: 0.1078, Trans: 2.2552) | Src Acc: 99.24% | Tgt Acc: 65.22% | CDANcov: 94.5%
[2026-01-18 14:09:17] Epoch  440/1200 | Loss: 2.2071 (PIL: 0.0209, Trans: 2.1862) | Src Acc: 99.52% | Tgt Acc: 65.22% | CDANcov: 95.8%
[2026-01-18 14:09:20] Epoch  450/1200 | Loss: 2.4690 (PIL: 0.1783, Trans: 2.2907) | Src Acc: 99.52% | Tgt Acc: 63.92% | CDANcov: 95.1%
[2026-01-18 14:09:24] Epoch  460/1200 | Loss: 2.2256 (PIL: 0.0381, Trans: 2.1876) | Src Acc: 98.95% | Tgt Acc: 67.22% | CDANcov: 97.4%
[2026-01-18 14:09:28] Epoch  470/1200 | Loss: 2.5330 (PIL: 0.1510, Trans: 2.3820) | Src Acc: 99.52% | Tgt Acc: 65.10% | CDANcov: 92.4%
[2026-01-18 14:09:31] Epoch  480/1200 | Loss: 2.3012 (PIL: 0.0600, Trans: 2.2413) | Src Acc: 99.52% | Tgt Acc: 63.10% | CDANcov: 98.0%
[2026-01-18 14:09:35] Epoch  490/1200 | Loss: 2.3161 (PIL: 0.0370, Trans: 2.2791) | Src Acc: 100.00% | Tgt Acc: 67.22% | CDANcov: 95.6%
[2026-01-18 14:09:39] Epoch  500/1200 | Loss: 2.2870 (PIL: 0.0324, Trans: 2.2546) | Src Acc: 99.60% | Tgt Acc: 67.22% | CDANcov: 95.8%
[2026-01-18 14:09:42] Epoch  510/1200 | Loss: 2.2998 (PIL: 0.0391, Trans: 2.2607) | Src Acc: 99.46% | Tgt Acc: 67.22% | CDANcov: 95.8%
[2026-01-18 14:09:46] Epoch  520/1200 | Loss: 2.2912 (PIL: 0.0254, Trans: 2.2658) | Src Acc: 100.00% | Tgt Acc: 62.16% | CDANcov: 95.3%
[2026-01-18 14:09:49] Epoch  530/1200 | Loss: 2.3951 (PIL: 0.0698, Trans: 2.3253) | Src Acc: 99.52% | Tgt Acc: 59.46% | CDANcov: 93.9%
[2026-01-18 14:09:53] Epoch  540/1200 | Loss: 2.3193 (PIL: 0.0376, Trans: 2.2817) | Src Acc: 99.46% | Tgt Acc: 60.52% | CDANcov: 96.7%
[2026-01-18 14:09:56] Epoch  550/1200 | Loss: 2.2848 (PIL: 0.0538, Trans: 2.2310) | Src Acc: 99.03% | Tgt Acc: 60.63% | CDANcov: 97.4%
[2026-01-18 14:09:59] Epoch  560/1200 | Loss: 2.3614 (PIL: 0.1121, Trans: 2.2493) | Src Acc: 97.70% | Tgt Acc: 56.99% | CDANcov: 96.5%
[2026-01-18 14:10:01] Epoch  570/1200 | Loss: 2.2847 (PIL: 0.0113, Trans: 2.2734) | Src Acc: 99.52% | Tgt Acc: 65.22% | CDANcov: 96.4%
[2026-01-18 14:10:04] Epoch  580/1200 | Loss: 2.5402 (PIL: 0.2143, Trans: 2.3259) | Src Acc: 99.50% | Tgt Acc: 64.04% | CDANcov: 93.0%
[2026-01-18 14:10:08] Epoch  590/1200 | Loss: 2.3556 (PIL: 0.0547, Trans: 2.3009) | Src Acc: 99.52% | Tgt Acc: 70.04% | CDANcov: 96.4%
[2026-01-18 14:10:12] Epoch  600/1200 | Loss: 2.4970 (PIL: 0.1432, Trans: 2.3537) | Src Acc: 97.00% | Tgt Acc: 62.04% | CDANcov: 95.2%
[2026-01-18 14:10:15] Epoch  610/1200 | Loss: 2.3155 (PIL: 0.0261, Trans: 2.2894) | Src Acc: 99.82% | Tgt Acc: 65.57% | CDANcov: 94.3%
[2026-01-18 14:10:18] Epoch  620/1200 | Loss: 2.2894 (PIL: 0.0191, Trans: 2.2703) | Src Acc: 100.00% | Tgt Acc: 65.92% | CDANcov: 96.7%
[2026-01-18 14:10:21] Epoch  630/1200 | Loss: 2.2661 (PIL: 0.0360, Trans: 2.2301) | Src Acc: 97.34% | Tgt Acc: 59.46% | CDANcov: 97.1%
[2026-01-18 14:10:25] Epoch  640/1200 | Loss: 2.2737 (PIL: 0.0238, Trans: 2.2499) | Src Acc: 98.87% | Tgt Acc: 60.28% | CDANcov: 97.4%
[2026-01-18 14:10:28] Epoch  650/1200 | Loss: 2.3487 (PIL: 0.0506, Trans: 2.2981) | Src Acc: 99.82% | Tgt Acc: 67.22% | CDANcov: 96.2%
[2026-01-18 14:10:31] Epoch  660/1200 | Loss: 2.3724 (PIL: 0.0525, Trans: 2.3199) | Src Acc: 100.00% | Tgt Acc: 61.46% | CDANcov: 97.7%
[2026-01-18 14:10:34] Epoch  670/1200 | Loss: 2.3584 (PIL: 0.0352, Trans: 2.3232) | Src Acc: 100.00% | Tgt Acc: 61.46% | CDANcov: 98.3%
[2026-01-18 14:10:37] Epoch  680/1200 | Loss: 2.3066 (PIL: 0.0174, Trans: 2.2892) | Src Acc: 99.62% | Tgt Acc: 61.46% | CDANcov: 97.9%
[2026-01-18 14:10:40] Epoch  690/1200 | Loss: 2.3547 (PIL: 0.0598, Trans: 2.2949) | Src Acc: 94.60% | Tgt Acc: 61.46% | CDANcov: 94.7%
[2026-01-18 14:10:43] Epoch  700/1200 | Loss: 2.3838 (PIL: 0.0370, Trans: 2.3468) | Src Acc: 99.16% | Tgt Acc: 67.22% | CDANcov: 97.3%
[2026-01-18 14:10:47] Epoch  710/1200 | Loss: 2.4010 (PIL: 0.0564, Trans: 2.3446) | Src Acc: 100.00% | Tgt Acc: 67.22% | CDANcov: 97.0%
[2026-01-18 14:10:49] Epoch  720/1200 | Loss: 2.5678 (PIL: 0.2581, Trans: 2.3097) | Src Acc: 98.63% | Tgt Acc: 61.46% | CDANcov: 95.8%
[2026-01-18 14:10:53] Epoch  730/1200 | Loss: 2.3836 (PIL: 0.0629, Trans: 2.3207) | Src Acc: 99.82% | Tgt Acc: 67.22% | CDANcov: 97.1%
[2026-01-18 14:10:56] Epoch  740/1200 | Loss: 2.5022 (PIL: 0.1418, Trans: 2.3604) | Src Acc: 98.77% | Tgt Acc: 63.10% | CDANcov: 95.7%
[2026-01-18 14:10:59] Epoch  750/1200 | Loss: 2.3127 (PIL: 0.0201, Trans: 2.2926) | Src Acc: 99.78% | Tgt Acc: 67.80% | CDANcov: 96.7%
[2026-01-18 14:11:02] Epoch  760/1200 | Loss: 2.2922 (PIL: 0.0182, Trans: 2.2740) | Src Acc: 99.46% | Tgt Acc: 65.22% | CDANcov: 97.1%
[2026-01-18 14:11:06] Epoch  770/1200 | Loss: 2.3371 (PIL: 0.0301, Trans: 2.3070) | Src Acc: 100.00% | Tgt Acc: 61.46% | CDANcov: 98.2%
[2026-01-18 14:11:09] Epoch  780/1200 | Loss: 2.3078 (PIL: 0.0144, Trans: 2.2934) | Src Acc: 99.52% | Tgt Acc: 59.46% | CDANcov: 98.7%
[2026-01-18 14:11:13] Epoch  790/1200 | Loss: 2.2787 (PIL: 0.0162, Trans: 2.2625) | Src Acc: 99.52% | Tgt Acc: 59.46% | CDANcov: 98.7%
[2026-01-18 14:11:15] Epoch  800/1200 | Loss: 2.3224 (PIL: 0.0157, Trans: 2.3067) | Src Acc: 99.52% | Tgt Acc: 56.29% | CDANcov: 96.9%
[2026-01-18 14:11:18] Epoch  810/1200 | Loss: 2.3552 (PIL: 0.0314, Trans: 2.3238) | Src Acc: 99.57% | Tgt Acc: 62.04% | CDANcov: 90.5%
[2026-01-18 14:11:21] Epoch  820/1200 | Loss: 2.3746 (PIL: 0.0641, Trans: 2.3105) | Src Acc: 99.82% | Tgt Acc: 64.39% | CDANcov: 94.5%
[2026-01-18 14:11:25] Epoch  830/1200 | Loss: 2.3424 (PIL: 0.0507, Trans: 2.2918) | Src Acc: 99.82% | Tgt Acc: 68.04% | CDANcov: 94.7%
[2026-01-18 14:11:28] Epoch  840/1200 | Loss: 2.3224 (PIL: 0.0470, Trans: 2.2754) | Src Acc: 98.66% | Tgt Acc: 70.62% | CDANcov: 94.1%
[2026-01-18 14:11:31] Epoch  850/1200 | Loss: 2.3426 (PIL: 0.0861, Trans: 2.2565) | Src Acc: 99.86% | Tgt Acc: 69.21% | CDANcov: 96.1%
[2026-01-18 14:11:34] Epoch  860/1200 | Loss: 2.2929 (PIL: 0.0314, Trans: 2.2614) | Src Acc: 99.52% | Tgt Acc: 66.86% | CDANcov: 98.2%
[2026-01-18 14:11:37] Epoch  870/1200 | Loss: 2.2903 (PIL: 0.0186, Trans: 2.2717) | Src Acc: 99.54% | Tgt Acc: 61.46% | CDANcov: 96.7%
[2026-01-18 14:11:41] Epoch  880/1200 | Loss: 2.2590 (PIL: 0.0328, Trans: 2.2262) | Src Acc: 99.68% | Tgt Acc: 59.22% | CDANcov: 96.9%
[2026-01-18 14:11:44] Epoch  890/1200 | Loss: 2.3200 (PIL: 0.0319, Trans: 2.2881) | Src Acc: 99.52% | Tgt Acc: 68.86% | CDANcov: 98.4%
[2026-01-18 14:11:48] Epoch  900/1200 | Loss: 2.2328 (PIL: 0.0201, Trans: 2.2127) | Src Acc: 99.35% | Tgt Acc: 70.39% | CDANcov: 98.6%
[2026-01-18 14:11:51] Epoch  910/1200 | Loss: 2.3114 (PIL: 0.0395, Trans: 2.2719) | Src Acc: 99.35% | Tgt Acc: 67.69% | CDANcov: 97.5%
[2026-01-18 14:11:55] Epoch  920/1200 | Loss: 2.2788 (PIL: 0.0145, Trans: 2.2643) | Src Acc: 99.42% | Tgt Acc: 71.68% | CDANcov: 97.7%
[2026-01-18 14:11:58] Epoch  930/1200 | Loss: 2.2972 (PIL: 0.0396, Trans: 2.2576) | Src Acc: 99.73% | Tgt Acc: 69.80% | CDANcov: 98.2%
[2026-01-18 14:12:02] Epoch  940/1200 | Loss: 2.2675 (PIL: 0.0114, Trans: 2.2562) | Src Acc: 99.82% | Tgt Acc: 72.39% | CDANcov: 99.2%
[2026-01-18 14:12:05] Epoch  950/1200 | Loss: 2.3892 (PIL: 0.0474, Trans: 2.3418) | Src Acc: 99.56% | Tgt Acc: 67.69% | CDANcov: 98.4%
[2026-01-18 14:12:08] Epoch  960/1200 | Loss: 2.3281 (PIL: 0.0078, Trans: 2.3203) | Src Acc: 99.62% | Tgt Acc: 69.68% | CDANcov: 99.1%
[2026-01-18 14:12:12] Epoch  970/1200 | Loss: 2.3958 (PIL: 0.0525, Trans: 2.3433) | Src Acc: 99.82% | Tgt Acc: 69.68% | CDANcov: 98.3%
[2026-01-18 14:12:15] Epoch  980/1200 | Loss: 2.3164 (PIL: 0.0378, Trans: 2.2786) | Src Acc: 99.52% | Tgt Acc: 67.69% | CDANcov: 98.3%
[2026-01-18 14:12:18] Epoch  990/1200 | Loss: 2.3665 (PIL: 0.0311, Trans: 2.3354) | Src Acc: 99.45% | Tgt Acc: 67.22% | CDANcov: 96.9%
[2026-01-18 14:12:21] Epoch 1000/1200 | Loss: 2.4042 (PIL: 0.1197, Trans: 2.2845) | Src Acc: 100.00% | Tgt Acc: 72.39% | CDANcov: 96.7%
[2026-01-18 14:12:24] Epoch 1010/1200 | Loss: 2.3324 (PIL: 0.0157, Trans: 2.3167) | Src Acc: 99.52% | Tgt Acc: 70.39% | CDANcov: 98.8%
[2026-01-18 14:12:27] Epoch 1020/1200 | Loss: 2.3165 (PIL: 0.0286, Trans: 2.2878) | Src Acc: 98.10% | Tgt Acc: 70.39% | CDANcov: 97.4%
[2026-01-18 14:12:31] Epoch 1030/1200 | Loss: 2.2945 (PIL: 0.0118, Trans: 2.2827) | Src Acc: 99.62% | Tgt Acc: 70.39% | CDANcov: 98.6%
